,메뉴,링크
0,언론사별,https://news.naver.com/?viewType=pc
1,정치,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=100
2,경제,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=101
3,사회,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=102
4,생활/문화,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=103
5,IT/과학,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=105
6,세계,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=104
7,랭킹,https://news.naver.com/main/ranking/popularDay.naver
8,신문보기,https://news.naver.com/newspaper/home?viewType=pc
9,오피니언,https://news.naver.com/opinion/home
10,TV,https://news.naver.com/main/tv/index.naver?mid=tvh
11,팩트체크,https://news.naver.com/factcheck/main
12,알고리즘 안내,https://media.naver.com/algorithm
13,정정보도 모음,https://news.naver.com/main/ombudsman/errorArticleList.naver?mid=omb
