,head_line,news_link,section
0,내년 경제정책방향 발표 최상목 후보자 데뷔 무대 되나,https://n.news.naver.com/mnews/article/016/0002236860?sid=100,정치
1," 尹, '김건희 특검법'에 거부권 행사할까?[이슈분석]",https://n.news.naver.com/mnews/article/448/0000439652?sid=100,정치
2,"지지율 하락에 ‘영부인 리스크’… 尹, 발길 무거운 네덜란드 순방",https://n.news.naver.com/mnews/article/023/0003804075?sid=100,정치
3,"'준연동형이냐 병립형이냐'…민주, 비례대표제 여론조사 진행중",https://n.news.naver.com/mnews/article/421/0007226277?sid=100,정치
4,“불출마” 제로… 기득권 포기않는 여당,https://n.news.naver.com/mnews/article/021/0002610048?sid=100,정치
5,"해수장관 후보자, 과거 음주·폭력에 ""청문회에서 판단 받겠다""",https://n.news.naver.com/mnews/article/214/0001317610?sid=100,정치
6,선거구 미확정에 혼돈의 예비후보자들 “내 지역구는 어디인가?”,https://n.news.naver.com/mnews/article/032/0003266621?sid=100,정치
7,"이낙연 ""훌륭한 분 모아 세력화 필요"" 이상민 ""민주·인권 가치 규합""",https://n.news.naver.com/mnews/article/003/0012260183?sid=100,정치
8,민주당 인재영입 1호는 ‘기후위기 전문가’ 박지혜 변호사,https://n.news.naver.com/mnews/article/028/0002668108?sid=100,정치
9,"조승래 의원, R&D 예산 합의 9일 앞두고 천막농성 돌입...""원상복구 필요""",https://n.news.naver.com/mnews/article/029/0002842491?sid=100,정치
10,결혼 5년 이하 신혼부부 100만쌍 선 무너지나,https://n.news.naver.com/mnews/article/088/0000850942?sid=101,경제
11,"40대 고용보험 가입자 첫 감소...""인구감소 탓""",https://n.news.naver.com/mnews/article/016/0002237220?sid=101,경제
12,연말정산 체크리스트…식대 비과세 월 20만·영화관람 30% 공제,https://n.news.naver.com/mnews/article/001/0014382688?sid=101,경제
13,“비트코인 뜬다” 서학 개미들 암호화폐 관련주 폭풍매수,https://n.news.naver.com/mnews/article/025/0003327489?sid=101,경제
14,서울 아파트 평균 월세 ‘100만원 시대’,https://n.news.naver.com/mnews/article/032/0003266579?sid=101,경제
15,금감원 “카드 리볼빙 미끼 광고 우려” 소비자 주의보,https://n.news.naver.com/mnews/article/082/0001245982?sid=101,경제
16,김철주 신임 생보협회장 “생보산업 중대위기 직면”…3대과제 제시,https://n.news.naver.com/mnews/article/016/0002236984?sid=101,경제
17,삼성·현대車 등 '10대 그룹' 내부거래 196조…5년 만에 최대 증가,https://n.news.naver.com/mnews/article/008/0004972571?sid=101,경제
18," 미래에셋 박현주·네이버 최수연, 청년 20인과 '갓생한끼'[기업]",https://n.news.naver.com/mnews/article/052/0001971137?sid=101,경제
19,"하나금융, DJSI 최상위 등급 '월드지수' 2년 연속 편입",https://n.news.naver.com/mnews/article/629/0000254079?sid=101,경제
20,"'의대정원 증원 반대"" 오늘부터 일주일간 의사파업 찬반 투표",https://n.news.naver.com/mnews/article/214/0001317600?sid=102,사회
21,"전남경찰, 제22대 국회의원선거 단속체제 돌입",https://n.news.naver.com/mnews/article/277/0005353294?sid=102,사회
22,"'호원초 교사 사망' 학부모 조사 완료…""금전 강요 없었다"" 주장",https://n.news.naver.com/mnews/article/277/0005353405?sid=102,사회
23,봉화 석포제련소에서 비소 중독 사고...협력업체 직원 1명 숨져,https://n.news.naver.com/mnews/article/052/0001970792?sid=102,사회
24,"검찰, 송영길 영장청구 방침…“돈봉투 마련·전달책 모두 구속”",https://n.news.naver.com/mnews/article/025/0003327426?sid=102,사회
25,"[속보] 검찰, ‘등산로 살인’ 최윤종에 사형 구형…“전혀 반성없어”",https://n.news.naver.com/mnews/article/009/0005228430?sid=102,사회
26,강원에 ‘한겨울 폭우’…호우-대설 특보 동시 발령,https://n.news.naver.com/mnews/article/020/0003536366?sid=102,사회
